Rank,Name,Ownership,HQ,CEO,CEO pay,Revenue,Fossil fuel production,Investment in renewables,Global emissions 1965-2017,Projected increase in production 2018-30,Projected emissions 2018-30,Future projects,Projected future emissions 2018-30,Environmental disaster,Projected future increase in production 2018-30,Future project,Chairman and managing director,Managing director pay,Environmental scandal,Coal sold a day
11,PetroChina,State and shareholder,"Beijing, China",Hou Qijun,Undisclosed,$328bn in 2018,4.1m barrels of oil equivalent a day,"By 2030, the company aims to get 10% of its revenue from “new energy” sources","15,632m tonnes of CO2, 1.15% of global total",-12%,,,"8,985m tonnes of CO2","In 2003, a toxic gas leak in Chongqing killed 242 people. In 2005, an explosion at a plant in Jilin killed six and polluted the Songhua River so badly that 4 million people in Harbin had their taps cut off. In 2010, a pipeline explosion in Dalian discharged 1,500 tonnes of crude oil into the Yellow Sea. The company says it has in place strong environmental protection safeguards",,"The vast Tarim oil and gas field in the far western region of Xinjiang is being expanded to 565,000 barrels a day",,,,
12,"Peabody Energy, US",Shareholder,"St Louis, Missouri, US",Glenn Kellow,$7.3m for 2018,$5.5bn in 2018,,Little to none,"15,385m tonnes of CO2, 1.14% of global total",,,,,Accused of polluting water supplies on Native American land. The New York attorney general concluded in 2015 it had misled investors on climate change – a settlement followed,,"Recently announced a joint venture with Arch Coal to combine operations in Colorado and in the Powder River Basin, which stretches across Montana and Wyoming, so coal can better compete with natural gas and renewables",,,,"509,589 tons (about 460,000 tonnes) in 2018"
13,"ConocoPhillips, US",Shareholder,"Houston, Texas, US",Ryan Lance,$23.4m for 2018,$38.7bn in 2018,1.2m barrels of oil equivalent a day,Bought the solar company Lightsource for $200m last year,"15,229m tonnes of CO2, 1.12% of global total",11%,,,"3,094m tonnes of CO2",Fined by authorities in the US and China over oil spills. In 2005 it agreed to spend more than half a billion dollars to remedy clean air violations in the US,,"Escalated drilling operations in the North Sea, as well as in Canada and Alaska",,,,
14,Abu Dhabi National Oil Company,State,"Abu Dhabi, UAE",Sultan Ahmed Al Jaber,Undisclosed,$6.2bn in 2018,2.1m barrels of oil equivalent a day,N/A,"13,840m tonnes of CO2 (and methane converted to CO2), 1.01% of global total",,,,"6,224m tonnes of CO2",,22.4%,Expansion of polypropylene plants – the key product in the making of single-use plastics such as clingfilm and margarine pots – to increase production by 11% to reach 5m tonnes per year,,,,
15,"Kuwait Petroleum Corporation, Kuwait",State,"Kuwait City, Kuwait",Nizar al-Adsani,Undisclosed,"$58bn in 2018, according to Opec",2.7m barrels of oil equivalent a day,N/A,"13,479m tonnes of CO2 (and methane converted to CO2), 1% of global total",7.3%,,,"6,897m tonnes of CO2",,,"It has announced plans for energy projects of $500bn over the next 20 years, to increase oil production to 4.75m barrels a day",,,,
16,"Iraq National Oil Co, Iraq",State,"Baghdad, Iraq","Jabbar Alluaibi, the Iraqi oil minister",Undisclosed,"$68bn in 2018, according to Opec",1.5m barrels of oil equivalent a day,N/A,"12,596m tonnes of CO2 equivalent, 0.93% of global total",,,"There are huge oil reserves in Iraq and the INOC says there are also four gas projects on the table including al-Halfaya, which is expected to produce 300m cubic metres per day. Basra gas projects are also growing",,,,,,,,
17,"Total SA, France",Shareholder,"Courbevoie, France",Patrick Pouyanné,$3.55m for 2018,$209bn in 2018,2.3m barrels of oil equivalent a day,No figure for renewables but it says $1.5bn-$2bn in “low carbon electricity”,"12,352m tonnes of CO2 equivalent, 0.91% of global total",12.2%,,"Alongside its fellow fossil fuel giant Exxon, Total SA is planning a $10bn expansion into Papua New Guinea that is set to double the impoverished country’s export of liquid natural gas","5,830m tonnes of CO2","Total SA was found to be responsible for the 1999 sinking of the tanker Erika in the Bay of Biscay when 20,000 tonnes of toxic fuel oil polluted the sea, devastating 250 miles (400km) of beaches and shoreline, crippling local industries and killings tens of thousands of seabirds",,,,,,
18,"Sonatrach, Algeria",State,"Algiers, Algeria",Rachid Hachichi,Undisclosed,$39bn in 2018,2.4m barrels of oil equivalent a day,N/A,"12,302m tonnes of CO2, 0.91% of global total",-17.8%,,"Already Africa’s biggest company, Sonatrach is planning to become a player in the global plastic industry by building a huge new polypropylene plant in Algeria. Sonatrach is also responsible for solar power in Algeria, which the government wants to develop so it can export more oil","3,637m tonnes of CO2","In July, the company suffered its worst accident in 15 years when a huge liquefied natural gas complex exploded. Smoke billowed into the sky for two days until firefighters extinguished the blaze",,,,,,
19,"BHP Billiton, Australia",Shareholder,"Melbourne, Australia, and London, UK",Andrew Mackenzie,$3.5m for 2018,$45.8bn in 2018,"331,505 barrels of oil equivalent, plus 189,041 tonnes of coal (thermal and metallurgical) a day",None,"9,802m tonnes of CO2 equivalent, 0.72% of global total",,,,,"The 2016 collapse of a tailings dam in Brazil killed 19 people, destroyed villages, left hundreds homeless and killed fish and other aquatic life in the Gualaxo do Norte River",,The untapped Trion oil project in the Gulf of Mexico could yield more than 485m barrels of oil equivalent. BHP bought a 60% share in 2016 and operates the project,,,,
20,"Petrobras, Brazil",State,"Rio de Janeiro, Brazil",Roberto Castello Branco,Undisclosed,$95.5bn in 2018,2.6m barrels of oil equivalent a day,N/A,"8,676m tonnes of CO2, 0.64% of global total.",12.8%,,"Preparing for the world’s biggest expansion of offshore oil and gas production by putting out tenders for seven huge floating production, storage and offloading (FPSO) vessels","5,427m tonnes of CO2","Oil spills of over a million litres into Guanabara Bay in Rio de Janeiro in 1975 and 2000. Many others since, including two this year of hundreds of thousands of litres from offshore platforms and ships",,,,,,
